Month,Price,Change
Feb 2017,10928.35,0.29%
Mar 2017,10477.9,-4.12%
Apr 2017,10092.54,-3.68%
May 2017,10216.09,1.22%
Jun 2017,10176.38,-0.39%
Jul 2017,10150,-0.26%
Aug 2017,9498.94,-6.41%
Sep 2017,9494.41,-0.05%
Oct 2017,9673.09,1.88%
Nov 2017,9646.54,-0.27%
Dec 2017,9570.82,-0.78%
Jan 2018,9918.33,3.63%
Feb 2018,10516.11,6.03%
Mar 2018,11181.81,6.33%
Apr 2018,11530.35,3.12%
May 2018,12096.45,4.91%
Jun 2018,11190.6,-7.49%
Jul 2018,10748.97,-3.95%
Aug 2018,11290.36,5.04%
Sep 2018,11192.09,-0.87%
Oct 2018,11797.98,5.41%
Nov 2018,11541.44,-2.17%
Dec 2018,11860.03,2.76%
Jan 2019,11796.97,-0.53%
Feb 2019,12071.17,2.32%
Mar 2019,11548.74,-4.33%
Apr 2019,11211.83,-2.92%
May 2019,11939.56,6.49%
Jun 2019,13546.13,13.46%
Jul 2019,13033.32,-3.79%
Aug 2019,11638.72,-10.70%
Sep 2019,11217.93,-3.62%
Oct 2019,11876.32,5.87%
Nov 2019,11880.8,0.04%
Dec 2019,11885.57,0.04%
Jan 2020,12253.33,3.09%
Feb 2020,12054.1,-1.63%
Mar 2020,12070.44,0.14%
Apr 2020,11192.96,-7.27%
May 2020,10888.21,-2.72%
Jun 2020,11204.13,2.90%
Jul 2020,11444.02,2.14%
Aug 2020,11151.5,-2.56%
Sep 2020,12206.69,9.46%
Oct 2020,13721.48,12.41%
Nov 2020,14139.09,3.04%
Dec 2020,14640.97,3.55%
Jan 2021,17141.52,17.08%
Feb 2021,17845.05,4.10%
Mar 2021,17846.61,0.01%
Apr 2021,19961.26,11.85%
May 2021,22396.99,12.20%
Jun 2021,21520.21,-3.91%
Jul 2021,20748.88,-3.58%
Aug 2021,19035.14,-8.26%
Sep 2021,17345.17,-8.88%
Oct 2021,17950.61,3.49%
Nov 2021,18525.43,3.20%
Dec 2021,19983.16,7.87%
Jan 2022,20593.9,3.06%
Feb 2022,21955.92,6.61%
Mar 2022,25582.31,16.52%
Apr 2022,26524.2,3.68%
May 2022,26659.29,0.51%
Jun 2022,26211.67,-1.68%
Jul 2022,25714.64,-1.90%
Aug 2022,23058.23,-10.33%
Sep 2022,25090.23,8.81%
Oct 2022,28286.28,12.74%
Nov 2022,26260.15,-7.16%
Dec 2022,24893.71,-5.20%
Jan 2023,24794.35,-0.40%
Feb 2023,24630.93,-0.66%
Mar 2023,23246.76,-5.62%
Apr 2023,23877.07,2.71%
May 2023,22076.77,-7.54%
Jun 2023,21950.11,-0.57%
Jul 2023,19918.01,-9.26%
Aug 2023,17187.07,-13.71%
Sep 2023,18589.33,8.16%
Oct 2023,19202.16,3.30%
Nov 2023,17596.03,-8.36%
Dec 2023,17205.48,-2.22%
Jan 2024,16511.49,-4.03%
Feb 2024,15690.91,-4.97%
