Month,Price,Change
Jun 2010,55.88,16.27%
Jul 2010,60.93,9.05%
Aug 2010,53.09,-12.88%
Sep 2010,48.34,-8.94%
Oct 2010,48.42,0.16%
Nov 2010,36.8,-23.99%
Dec 2010,32.52,-11.62%
Jan 2011,33.13,1.87%
Feb 2011,40,20.74%
Mar 2011,38.24,-4.40%
Apr 2011,39.06,2.14%
May 2011,37.71,-3.45%
Jun 2011,41.26,9.42%
Jul 2011,43.08,4.41%
Aug 2011,43.01,-0.16%
Sep 2011,56.8,32.04%
Oct 2011,50.72,-10.70%
Nov 2011,34.47,-32.04%
Dec 2011,40.01,16.06%
Jan 2012,37.4,-6.53%
Feb 2012,38.35,2.54%
Mar 2012,40.26,4.98%
Apr 2012,42.48,5.52%
May 2012,41.3,-2.78%
Jun 2012,53.23,28.89%
Jul 2012,56.64,6.40%
Aug 2012,53.89,-4.85%
Sep 2012,54.56,1.24%
Oct 2012,51.9,-4.87%
Nov 2012,46.51,-10.38%
Dec 2012,41.51,-10.76%
Jan 2013,40.73,-1.86%
Feb 2013,44.07,8.19%
Mar 2013,49.49,12.31%
Apr 2013,53.29,7.67%
May 2013,58.34,9.47%
Jun 2013,67.66,15.99%
Jul 2013,66.95,-1.05%
Aug 2013,75.22,12.35%
Sep 2013,71.33,-5.17%
Oct 2013,61.63,-13.60%
Nov 2013,48.29,-21.65%
Dec 2013,45.84,-5.06%
Jan 2014,46.6,1.66%
Feb 2014,47.96,2.91%
Mar 2014,49.38,2.97%
Apr 2014,51.3,3.89%
May 2014,49.85,-2.84%
Jun 2014,49.56,-0.57%
Jul 2014,47.45,-4.26%
Aug 2014,46.89,-1.18%
Sep 2014,46.88,-0.02%
Oct 2014,44.78,-4.47%
Nov 2014,44.41,-0.84%
Dec 2014,48.29,8.74%
Jan 2015,47.22,-2.20%
Feb 2015,43.42,-8.05%
Mar 2015,39.34,-9.39%
Apr 2015,38.41,-2.36%
May 2015,38.92,1.33%
Jun 2015,40.23,3.36%
Jul 2015,40.73,1.25%
Aug 2015,44.25,8.63%
Sep 2015,41.72,-5.73%
Oct 2015,42.95,2.96%
Nov 2015,50.86,18.41%
Dec 2015,51.28,0.83%
Jan 2016,46.43,-9.45%
Feb 2016,47.09,1.41%
Mar 2016,45.6,-3.16%
Apr 2016,47.19,3.50%
May 2016,50.83,7.71%
Jun 2016,59.21,16.47%
Jul 2016,65.2,10.12%
Aug 2016,64.26,-1.44%
Sep 2016,70.08,9.06%
Oct 2016,70.76,0.98%
Nov 2016,76.98,8.79%
Dec 2016,73.33,-4.74%
Jan 2017,64.02,-12.70%
Feb 2017,60.39,-5.67%
Mar 2017,60.64,0.41%
Apr 2017,54.84,-9.57%
May 2017,48.96,-10.72%
Jun 2017,46.39,-5.24%
Jul 2017,45.11,-2.77%
Aug 2017,46.06,2.10%
Sep 2017,50.92,10.57%
Oct 2017,53.37,4.80%
Nov 2017,55.79,4.53%
Dec 2017,49.47,-11.33%
Jan 2018,48.37,-2.22%
Feb 2018,50.21,3.81%
Mar 2018,48.11,-4.19%
Apr 2018,49.9,3.73%
May 2018,59.44,19.11%
Jun 2018,56.95,-4.19%
Jul 2018,61.14,7.37%
Aug 2018,58.41,-4.47%
Sep 2018,57.84,-0.97%
Oct 2018,55.21,-4.54%
Nov 2018,52.43,-5.04%
Dec 2018,51,-2.73%
Jan 2019,45.28,-11.21%
Feb 2019,44.86,-0.93%
Mar 2019,45.16,0.67%
Apr 2019,39.57,-12.37%
May 2019,36.29,-8.30%
Jun 2019,37.5,3.32%
Jul 2019,37.16,-0.91%
Aug 2019,37.71,1.48%
Sep 2019,37.81,0.26%
Oct 2019,36.95,-2.27%
Nov 2019,37.86,2.46%
Dec 2019,37.02,-2.22%
Jan 2020,36.38,-1.73%
Feb 2020,37.15,2.13%
Mar 2020,40.87,10.01%
Apr 2020,44.19,8.11%
May 2020,49.18,11.29%
Jun 2020,49.21,0.06%
Jul 2020,49.51,0.61%
Aug 2020,46.3,-6.49%
Sep 2020,44.83,-3.16%
Oct 2020,44.82,-0.03%
Nov 2020,48.27,7.71%
Dec 2020,47.14,-2.35%
Jan 2021,46.06,-2.30%
Feb 2021,42.2,-8.37%
Mar 2021,43.68,3.49%
Apr 2021,43.91,0.53%
May 2021,44.75,1.92%
Jun 2021,47.08,5.20%
Jul 2021,51.42,9.22%
Aug 2021,53.41,3.87%
Sep 2021,54.48,2.00%
Oct 2021,49.44,-9.25%
Nov 2021,49.16,-0.56%
Dec 2021,53.63,9.10%
Jan 2022,58.81,9.66%
Feb 2022,54.77,-6.87%
Mar 2022,58.71,7.18%
Apr 2022,69.33,18.08%
May 2022,71.12,2.60%
Jun 2022,73.39,3.19%
Jul 2022,66.88,-8.87%
Aug 2022,73.99,10.62%
Sep 2022,74.63,0.87%
Oct 2022,88.1,18.04%
Nov 2022,89.19,1.24%
Dec 2022,90.6,1.58%
Jan 2023,89.26,-1.48%
Feb 2023,107.39,20.31%
Mar 2023,106.16,-1.14%
Apr 2023,119.75,12.80%
May 2023,116.09,-3.06%
Jun 2023,115.15,-0.81%
Jul 2023,124.09,7.76%
Aug 2023,137.42,10.75%
Sep 2023,147.01,6.98%
Oct 2023,168.97,14.93%
Nov 2023,171.58,1.55%
Dec 2023,158.27,-7.76%
Jan 2024,138.83,-12.28%
Feb 2024,161.78,16.53%
