Month,Price,Change
Jul 2001,33,15.09%
Aug 2001,32.05,-2.89%
Sep 2001,27.16,-15.25%
Oct 2001,23.05,-15.13%
Nov 2001,24,4.12%
Dec 2001,24.44,1.83%
Jan 2002,20.78,-14.95%
Feb 2002,25.32,21.82%
Mar 2002,27.78,9.72%
Apr 2002,26.42,-4.91%
May 2002,30.87,16.86%
Jun 2002,31.82,3.09%
Jul 2002,26.33,-17.26%
Aug 2002,20.41,-22.50%
Sep 2002,23.74,16.31%
Oct 2002,26.12,10.04%
Nov 2002,19.3,-26.10%
Dec 2002,30.33,57.12%
Jan 2003,26.84,-11.49%
Feb 2003,21.96,-18.19%
Mar 2003,23.34,6.31%
Apr 2003,18,-22.88%
May 2003,14.12,-21.54%
Jun 2003,14.48,2.54%
Jul 2003,13.87,-4.23%
Aug 2003,13.32,-3.96%
Sep 2003,14.21,6.70%
Oct 2003,14.98,5.38%
Nov 2003,18.66,24.60%
Dec 2003,16.87,-9.62%
Jan 2004,19.54,15.85%
Feb 2004,22.64,15.83%
Mar 2004,22.96,1.42%
Apr 2004,23.28,1.42%
May 2004,25.34,8.81%
Jun 2004,27.31,7.79%
Jul 2004,27.63,1.16%
Aug 2004,25.49,-7.74%
Sep 2004,24.89,-2.34%
Oct 2004,22.89,-8.04%
Nov 2004,22.1,-3.44%
Dec 2004,21.99,-0.52%
Jan 2005,25.82,17.40%
Feb 2005,38.87,50.57%
Mar 2005,34.52,-11.21%
Apr 2005,25.81,-25.23%
May 2005,26.96,4.48%
Jun 2005,21.36,-20.80%
Jul 2005,17.41,-18.46%
Aug 2005,17.45,0.20%
Sep 2005,25.91,48.48%
Oct 2005,28.24,8.98%
Nov 2005,26.98,-4.46%
Dec 2005,29.68,10.01%
Jan 2006,30.63,3.23%
Feb 2006,37.68,23.00%
Mar 2006,36.91,-2.03%
Apr 2006,32.81,-11.11%
May 2006,42.23,28.70%
Jun 2006,29.94,-29.11%
Jul 2006,26.02,-13.10%
Aug 2006,25.13,-3.40%
Sep 2006,24.91,-0.90%
Oct 2006,25.01,0.41%
Nov 2006,26.91,7.62%
Dec 2006,29.46,9.45%
Jan 2007,28.38,-3.67%
Feb 2007,28.71,1.16%
Mar 2007,28.62,-0.31%
Apr 2007,27.4,-4.26%
May 2007,28.15,2.73%
Jun 2007,31.79,12.96%
Jul 2007,29.5,-7.20%
Aug 2007,28.57,-3.16%
Sep 2007,26.62,-6.82%
Oct 2007,26.08,-2.05%
Nov 2007,25.64,-1.70%
Dec 2007,25.64,0.00%
Jan 2008,27.17,5.97%
Feb 2008,31.39,15.53%
Mar 2008,41.57,32.44%
Apr 2008,38.83,-6.59%
May 2008,38.76,-0.19%
Jun 2008,37.25,-3.88%
Jul 2008,30.84,-17.21%
Aug 2008,34.35,11.38%
Sep 2008,36.45,6.11%
Oct 2008,39.4,8.09%
Nov 2008,44.1,11.94%
Dec 2008,40.37,-8.46%
Jan 2009,40.05,-0.80%
Feb 2009,46.27,15.53%
Mar 2009,46.66,0.84%
Apr 2009,44.56,-4.48%
May 2009,40.28,-9.60%
Jun 2009,40.61,0.81%
Jul 2009,40.26,-0.85%
Aug 2009,40.1,-0.39%
Sep 2009,39.72,-0.96%
Oct 2009,37.84,-4.72%
Nov 2009,38.65,2.14%
Dec 2009,37.3,-3.49%
Jan 2010,36.28,-2.74%
Feb 2010,33.35,-8.07%
Mar 2010,38.22,14.58%
Apr 2010,36.93,-3.36%
May 2010,36.62,-0.86%
Jun 2010,44.7,22.08%
Jul 2010,46.4,3.81%
Aug 2010,41.91,-9.68%
Sep 2010,40.51,-3.33%
Oct 2010,40.86,0.87%
Nov 2010,40.84,-0.06%
Dec 2010,40.65,-0.46%
Jan 2011,40.39,-0.64%
Feb 2011,45.46,12.53%
Mar 2011,44.99,-1.02%
Apr 2011,45.72,1.62%
May 2011,45.34,-0.82%
Jun 2011,43.95,-3.06%
Jul 2011,42.64,-2.99%
Aug 2011,43.01,0.88%
Sep 2011,45.34,5.41%
Oct 2011,46.78,3.17%
Nov 2011,48.66,4.03%
Dec 2011,49.48,1.68%
Jan 2012,48.67,-1.65%
Feb 2012,52.61,8.09%
Mar 2012,57.37,9.05%
Apr 2012,53.36,-6.99%
May 2012,51.62,-3.26%
Jun 2012,53.23,3.12%
Jul 2012,53.31,0.14%
Aug 2012,52.78,-0.98%
Sep 2012,52.38,-0.77%
Oct 2012,50.84,-2.93%
Nov 2012,50.89,0.10%
Dec 2012,51.34,0.88%
Jan 2013,50.51,-1.61%
Feb 2013,49.44,-2.11%
Mar 2013,51.12,3.40%
Apr 2013,48.94,-4.28%
May 2013,50.08,2.33%
Jun 2013,53.08,5.99%
Jul 2013,55,3.61%
Aug 2013,59.42,8.04%
Sep 2013,59.87,0.76%
Oct 2013,57.32,-4.26%
Nov 2013,57.69,0.65%
Dec 2013,56.99,-1.21%
Jan 2014,57.79,1.39%
Feb 2014,59.17,2.40%
Mar 2014,58.53,-1.08%
Apr 2014,56.13,-4.09%
May 2014,54,-3.79%
Jun 2014,55.53,2.83%
Jul 2014,55.86,0.59%
Aug 2014,58.46,4.65%
Sep 2014,56.01,-4.18%
Oct 2014,55.21,-1.43%
Nov 2014,55.51,0.54%
Dec 2014,57.07,2.81%
Jan 2015,56.54,-0.92%
Feb 2015,62.03,9.70%
Mar 2015,64.95,4.71%
Apr 2015,64.76,-0.28%
May 2015,59.98,-7.38%
Jun 2015,58.75,-2.05%
Jul 2015,59.83,1.83%
Aug 2015,62.47,4.42%
Sep 2015,62.9,0.70%
Oct 2015,60.52,-3.79%
Nov 2015,61.43,1.50%
Dec 2015,61.93,0.83%
Jan 2016,69.99,13.00%
Feb 2016,71.66,2.39%
Mar 2016,67.73,-5.48%
Apr 2016,65.8,-2.84%
May 2016,66.22,0.63%
Jun 2016,66.61,0.59%
Jul 2016,67.89,1.92%
Aug 2016,69.62,2.54%
Sep 2016,66.74,-4.13%
Oct 2016,64.75,-2.98%
Nov 2016,64.83,0.11%
Dec 2016,65.18,0.55%
Jan 2017,68.11,4.49%
Feb 2017,70.46,3.45%
Mar 2017,70.53,0.10%
Apr 2017,68.38,-3.04%
May 2017,70.22,2.68%
Jun 2017,70.88,0.95%
Jul 2017,70.88,0.01%
Aug 2017,70.36,-0.74%
Sep 2017,70.91,0.77%
Oct 2017,70.29,-0.87%
Nov 2017,70.06,-0.33%
Dec 2017,70.67,0.86%
Jan 2018,71.92,1.77%
Feb 2018,81.75,13.68%
Mar 2018,75.41,-7.76%
Apr 2018,76.17,1.00%
May 2018,77.68,1.98%
Jun 2018,78.64,1.24%
Jul 2018,78.32,-0.41%
Aug 2018,77.18,-1.45%
Sep 2018,80.25,3.98%
Oct 2018,82.45,2.74%
Nov 2018,80.44,-2.44%
Dec 2018,80.04,-0.50%
Jan 2019,80.66,0.77%
Feb 2019,82.6,2.41%
Mar 2019,81.98,-0.75%
Apr 2019,80.54,-1.77%
May 2019,78.16,-2.94%
Jun 2019,78.47,0.39%
Jul 2019,77.75,-0.91%
Aug 2019,79.68,2.48%
Sep 2019,82.03,2.95%
Oct 2019,80.29,-2.13%
Nov 2019,80.71,0.53%
Dec 2019,81.87,1.43%
Jan 2020,83.45,1.94%
Feb 2020,84.31,1.03%
Mar 2020,89.18,5.78%
Apr 2020,97.52,9.36%
May 2020,98.36,0.86%
Jun 2020,98.42,0.06%
Jul 2020,95.27,-3.20%
Aug 2020,93.34,-2.03%
Sep 2020,91.14,-2.36%
Oct 2020,83.03,-8.90%
Nov 2020,83.92,1.08%
Dec 2020,84.71,0.93%
Jan 2021,90.65,7.02%
Feb 2021,88.77,-2.07%
Mar 2021,89.54,0.86%
Apr 2021,91.53,2.23%
May 2021,90.23,-1.42%
Jun 2021,90.48,0.27%
Jul 2021,91.66,1.31%
Aug 2021,91.24,-0.46%
Sep 2021,86.87,-4.79%
Oct 2021,86.14,-0.84%
Nov 2021,84.91,-1.43%
Dec 2021,87.63,3.20%
Jan 2022,86.36,-1.44%
Feb 2022,93.04,7.73%
Mar 2022,105.98,13.91%
Apr 2022,111.23,4.95%
May 2022,112.87,1.48%
Jun 2022,112.43,-0.39%
Jul 2022,121.82,8.35%
Aug 2022,132.86,9.06%
Sep 2022,130,-2.15%
Oct 2022,129.26,-0.57%
Nov 2022,135.02,4.45%
Dec 2022,138.37,2.48%
Jan 2023,137.57,-0.57%
Feb 2023,137.12,-0.33%
Mar 2023,131.67,-3.98%
Apr 2023,135.33,2.78%
May 2023,132.56,-2.05%
Jun 2023,130.78,-1.34%
Jul 2023,127.37,-2.60%
Aug 2023,129.15,1.39%
Sep 2023,129.57,0.33%
Oct 2023,130.68,0.85%
Nov 2023,129.1,-1.21%
Dec 2023,130.78,1.30%
Jan 2024,133.84,2.34%
Feb 2024,130.25,-2.68%
