Month,Price,Change
May 2017,22.55,-2.92%
Jun 2017,19.98,-11.40%
Jul 2017,20.62,3.23%
Aug 2017,20.47,-0.74%
Sep 2017,20.63,0.77%
Oct 2017,20.83,0.97%
Nov 2017,21.41,2.79%
Dec 2017,20.56,-3.97%
Jan 2018,19.73,-4.03%
Feb 2018,19.31,-2.12%
Mar 2018,18.2,-5.74%
Apr 2018,17.73,-2.60%
May 2018,18.24,2.87%
Jun 2018,18.98,4.09%
Jul 2018,17.86,-5.90%
Aug 2018,16.69,-6.57%
Sep 2018,18.08,8.31%
Oct 2018,21.35,18.11%
Nov 2018,20.11,-5.80%
Dec 2018,19.83,-1.38%
Jan 2019,19.81,-0.11%
Feb 2019,20.65,4.24%
Mar 2019,19.45,-5.79%
Apr 2019,19.44,-0.07%
May 2019,18.84,-3.07%
Jun 2019,19.44,3.18%
Jul 2019,19.27,-0.91%
Aug 2019,19.21,-0.29%
Sep 2019,18.55,-3.45%
Oct 2019,19.89,7.27%
Nov 2019,20,0.53%
Dec 2019,21.36,6.78%
Jan 2020,22.11,3.54%
Feb 2020,23.58,6.63%
Mar 2020,19.32,-18.05%
Apr 2020,17.52,-9.31%
May 2020,18.16,3.62%
Jun 2020,20.44,12.57%
Jul 2020,20.25,-0.91%
Aug 2020,21.65,6.91%
Sep 2020,20.58,-4.97%
Oct 2020,22.04,7.11%
Nov 2020,23.02,4.45%
Dec 2020,22.83,-0.82%
Jan 2021,24.86,8.86%
Feb 2021,26.2,5.39%
Mar 2021,24.75,-5.52%
Apr 2021,26.79,8.25%
May 2021,27.88,4.05%
Jun 2021,27.95,0.27%
Jul 2021,29.06,3.97%
Aug 2021,31.9,9.75%
Sep 2021,31.65,-0.76%
Oct 2021,31.46,-0.62%
Nov 2021,32.03,1.81%
Dec 2021,31.73,-0.94%
Jan 2022,29.78,-6.14%
Feb 2022,29.26,-1.74%
Mar 2022,32.02,9.43%
Apr 2022,32.76,2.30%
May 2022,33.24,1.48%
Jun 2022,32.79,-1.35%
Jul 2022,31.85,-2.88%
Aug 2022,31.03,-2.58%
Sep 2022,31.3,0.87%
Oct 2022,32.11,2.60%
Nov 2022,33.55,4.48%
Dec 2022,34.59,3.11%
Jan 2023,34.39,-0.57%
Feb 2023,37.17,8.08%
Mar 2023,37.03,-0.38%
Apr 2023,43.47,17.39%
May 2023,46.11,6.06%
Jun 2023,44.42,-3.67%
Jul 2023,42.73,-3.79%
Aug 2023,43.88,2.68%
Sep 2023,48.17,9.80%
Oct 2023,47.44,-1.52%
Nov 2023,47.48,0.07%
Dec 2023,39.98,-15.78%
Jan 2024,39.9,-0.20%
Feb 2024,41.48,3.96%
